left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.03551902249455452,0.09109219163656235,0.03446720540523529,0.06411729753017426,0.026286054402589798,0.04586232453584671,0.0724458172917366,0.037363823503255844,0.050064027309417725,0.06460948288440704,0.022490212693810463,0.05092427879571915,0.04692167043685913,0.06213044375181198,0.05014932528138161,0.08982662856578827,0.022037645801901817,0.02916768752038479,0.049776408821344376,0.05474843084812164
aci,0.04042041674256325,0.05466632917523384,0.05771626904606819,0.0480663999915123,0.04094782471656799,0.0439925454556942,0.05284330993890762,0.05845557153224945,0.04260384663939476,0.05471703037619591,0.057380154728889465,0.06496229022741318,0.051496587693691254,0.02825808897614479,0.04440590366721153,0.04635560140013695,0.028779929503798485,0.05424314737319946,0.0560167133808136,0.07367204874753952
acn,0.051852256059646606,0.07171333581209183,0.043403178453445435,0.04752376303076744,0.06946991384029388,0.0519779808819294,0.04130176454782486,0.03600972518324852,0.04036041721701622,0.06405260413885117,0.04700322821736336,0.03268321231007576,0.04717203229665756,0.04978533089160919,0.03792668879032135,0.05890028178691864,0.07135966420173645,0.0463990643620491,0.03509528189897537,0.05601026490330696
aco,0.05398057401180267,0.02455434389412403,0.09873733669519424,0.05804641917347908,0.053984615951776505,0.04985256865620613,0.03839559108018875,0.0408179834485054,0.055745191872119904,0.04198122024536133,0.042478423565626144,0.033824555575847626,0.06813669949769974,0.04286755248904228,0.03657037019729614,0.03536204621195793,0.048140671104192734,0.0469360277056694,0.07522642612457275,0.05436139926314354
acu,0.07100433111190796,0.02223357930779457,0.03768348693847656,0.04234519228339195,0.07973068952560425,0.04421622306108475,0.043001677840948105,0.07117526978254318,0.030568599700927734,0.07978291809558868,0.032534025609493256,0.04823528230190277,0.033008724451065063,0.05117855221033096,0.050326697528362274,0.053545497357845306,0.05753973871469498,0.06983309239149094,0.034435588866472244,0.04762081056833267
acw,0.05077730864286423,0.06003984808921814,0.044510819017887115,0.04304911941289902,0.02511805295944214,0.05980328470468521,0.06199825927615166,0.042689427733421326,0.054925959557294846,0.07367131114006042,0.03751145675778389,0.038042888045310974,0.045229941606521606,0.04626886919140816,0.05168864503502846,0.05117896944284439,0.04216131195425987,0.0660172626376152,0.04533523693680763,0.059982091188430786
adt,0.05397222936153412,0.043873131275177,0.044400639832019806,0.07417134195566177,0.03432315215468407,0.0515282116830349,0.03562818840146065,0.05764909088611603,0.05848012492060661,0.044403236359357834,0.029374804347753525,0.026041125878691673,0.07180500030517578,0.05317595601081848,0.04260120913386345,0.07726160436868668,0.08348353207111359,0.039645202457904816,0.028342079371213913,0.04984011501073837
aei,0.05667775124311447,0.04731287434697151,0.04669145122170448,0.043926041573286057,0.05072668194770813,0.03886756673455238,0.052098941057920456,0.04912695288658142,0.052588898688554764,0.06143597140908241,0.05633304640650749,0.052434083074331284,0.052251968532800674,0.038784872740507126,0.06181502714753151,0.05087851360440254,0.03929451107978821,0.05006730929017067,0.06061168760061264,0.03807585686445236
aej,0.04528114199638367,0.047695010900497437,0.05219366028904915,0.0574917234480381,0.05034833401441574,0.05869933217763901,0.04938148334622383,0.05019384250044823,0.05948222801089287,0.04448968544602394,0.0504668653011322,0.05165829882025719,0.04753296077251434,0.04584866389632225,0.04042821377515793,0.045789606869220734,0.05529458448290825,0.050134412944316864,0.04912719875574112,0.04846280440688133
aem,0.05513884872198105,0.05063387751579285,0.05764400586485863,0.05551622807979584,0.04916977882385254,0.05189446359872818,0.05219154804944992,0.06100257858633995,0.05690133199095726,0.05229797214269638,0.04515095055103302,0.03929052874445915,0.047662049531936646,0.03869182616472244,0.03869611769914627,0.052044834941625595,0.0550961047410965,0.0568300224840641,0.044765789061784744,0.039381131529808044
